Product Name,Ingredients
Frooti,"{'Water': 85, 'Mango Pulp': 10, 'Sugar': 5, 'Acidity Regulator (Citric Acid)': 0.05, 'Preservatives (Sodium Benzoate)': 0.01}"
Chili Chataka Kurkure PepsiCo,"{'Corn Meal': 60, 'Rice Meal': 20, 'Edible Vegetable Oil (Palm Oil)': 15, 'Seasoning (Chili, Salt, Sugar)': 5}"
Chile Limon Lays PepsiCo,"{'Potatoes': 60, 'Vegetable Oil (Sunflower Oil)': 30, 'Lemon Powder': 5, 'Salt': 4, 'Chili Powder': 1}"
Maggi Noodles Nestlé,"{'Wheat Flour': 70, 'Edible Vegetable Oil (Palm Oil)': 10, 'Salt': 5, 'Hydrolyzed Groundnut Protein': 5, 'Minerals (Calcium Carbonate)': 2, 'Thickener (Guar Gum)': 1, 'Raising Agents': 1, 'Acidity Regulator (Citric Acid)': 1, 'Fortifying Nutrients': 0.5}"
Hide & Seek Biscuits Parle,"{'Wheat Flour': 50, 'Sugar': 20, 'Edible Vegetable Oil (Palm Oil)': 15, 'Cocoa Solids': 10, 'Leavening Agents': 2, 'Salt': 1, 'Emulsifiers': 1, 'Artificial Flavors': 1}"
Good Day Biscuits Britannia,"{'Wheat Flour': 55, 'Sugar': 25, 'Butter': 15, 'Cashew Nuts': 3, 'Raising Agents': 1, 'Salt': 1}"
Marie Gold Biscuits Britannia,"{'Wheat Flour': 65, 'Sugar': 20, 'Edible Vegetable Oil (Palm Oil)': 10, 'Invert Syrup': 2, 'Leavening Agents': 2, 'Salt': 1}"
5 Star Chocolate Cadbury,"{'Sugar': 50, 'Glucose Syrup': 20, 'Milk Solids': 15, 'Cocoa Butter': 10, 'Cocoa Solids': 5}"
KitKat,"{'Sugar': 45, 'Wheat Flour': 20, 'Cocoa Mass': 15, 'Milk Solids': 10, 'Vegetable Fat': 5, 'Cocoa Butter': 5}"
Perk,"{'Sugar': 50, 'Wheat Flour': 20, 'Cocoa Solids': 10, 'Milk Solids': 10, 'Edible Vegetable Oil (Palm Oil)': 5, 'Leavening Agents': 2, 'Salt': 1, 'Emulsifiers': 1, 'Artificial Flavors': 1}"
Dairy Milk Cadbury,"{'Sugar': 50, 'Milk Solids': 20, 'Cocoa Butter': 15, 'Cocoa Solids': 10, 'Emulsifiers': 2, 'Flavorings': 1}"
Bournvita,"{'Malt Extract': 50, 'Sugar': 30, 'Cocoa Solids': 10, 'Milk Solids': 5, 'Liquid Glucose': 3, 'Emulsifiers': 1, 'Vitamins and Minerals': 1}"
Boost,"{'Malt Extract': 60, 'Sugar': 25, 'Cocoa Solids': 10, 'Milk Solids': 3, 'Vitamins and Minerals': 2}"
Horlicks,"{'Malted Barley': 40, 'Wheat Flour': 30, 'Milk Solids': 14, 'Sugar': 13, 'Minerals and Vitamins': 2, 'Emulsifiers': 1}"
Amul Butter Amul,"{'Milk Fat': 80, 'Water': 16, 'Salt': 2, 'Curd': 2}"
Amul Cheese Amul,"{'Milk': 70, 'Water': 25, 'Salt': 2, 'Emulsifiers': 2, 'Cultures': 1}"
Kissan Jam Hindustan Unilever,"{'Fruit Pulp': 45, 'Sugar': 55, 'Pectin': 1, 'Acidity Regulators': 1}"
Kissan Ketchup Hindustan Unilever,"{'Tomato Paste': 30, 'Sugar': 25, 'Water': 20, 'Vinegar': 15, 'Salt': 5, 'Spices': 5}"
Sunfeast Yippee Noodles ITC,"{'Wheat Flour': 70, 'Edible Vegetable Oil (Palm Oil)': 10, 'Salt': 5, 'Starch': 5, 'Hydrolyzed Vegetable Protein': 5, 'Spices': 5}"
Bingo Mad Angles ITC,"{'Corn Flour': 60, 'Rice Flour': 20, 'Vegetable Oil (Palm Oil)': 15, 'Seasoning': 5}"
Lay's Classic Salted PepsiCo,"{'Potatoes': 60, 'Vegetable Oil (Sunflower Oil)': 30, 'Salt': 10}"
Uncle Chipps PepsiCo,"{'Potatoes': 60, 'Vegetable Oil (Sunflower Oil)': 30, 'Salt': 10}"
Haldiram's Aloo Bhujia Haldiram's,"{'Gram Flour': 50, 'Potatoes': 30, 'Vegetable Oil (Palm Oil)': 15, 'Salt': 5}"
Haldiram's Soan Papdi Haldiram's,"{'Sugar': 60, 'Wheat Flour': 15, 'Ghee': 10, 'Cashew Nuts': 5, 'Cardamom': 5, 'Rose Water': 5}"
Haldiram's Rasgulla Haldiram's,"{'Sugar': 60, 'Water': 35, 'Chhena (Cottage Cheese)': 4, 'Cardamom': 1}"
Kurkure Solid Masti PepsiCo,"{'Corn Meal': 60, 'Rice Meal': 20, 'Edible Vegetable Oil (Palm Oil)': 15, 'Seasoning': 5}"
Top Ramen Noodles Nissin,"{'Wheat Flour': 65, 'Palm Oil': 10, 'Salt': 5, 'Glucose': 5, 'Seasoning Mix (Spices)': 10, 'Monosodium Glutamate (MSG)': 2, 'Acidity Regulator (Citric Acid)': 1}"
Brittania Cakes Britannia,"{'Wheat Flour': 55, 'Sugar': 25, 'Butter': 10, 'Cocoa Powder': 5, 'Raising Agents': 2, 'Salt': 1, 'Vanilla Essence': 1}"
Act II Popcorn ConAgra,"{'Popcorn Kernels': 80, 'Edible Vegetable Oil (Sunflower Oil)': 15, 'Salt': 5}"
Real Fruit Juice Dabur,"{'Fruit Juice Concentrate': 60, 'Water': 35, 'Sugar': 4, 'Acidity Regulator (Citric Acid)': 0.5, 'Preservatives (Sodium Benzoate)': 0.5}"
Tropicana Orange Juice PepsiCo,"{'Orange Juice Concentrate': 80, 'Water': 15, 'Sugar': 5}"
Maaza,"{'Mango Pulp': 40, 'Sugar': 30, 'Water': 28, 'Citric Acid': 1, 'Preservatives (Sodium Benzoate)': 1}"
Minute Maid Coca-Cola,"{'Fruit Juice Concentrate': 55, 'Water': 40, 'Sugar': 5}"
Thums Up Coca-Cola,"{'Carbonated Water': 90, 'Sugar': 8, 'Caramel': 1, 'Citric Acid': 1}"
Sprite,"{'Carbonated Water': 85, 'Sugar': 10, 'Citric Acid': 3, 'Sodium Citrate': 1, 'Lemon Essence': 1}"
Limca,"{'Carbonated Water': 85, 'Sugar': 10, 'Lime Extract': 3, 'Citric Acid': 2}"
Appy Fizz Parle Agro,"{'Apple Juice Concentrate': 30, 'Carbonated Water': 65, 'Sugar': 3, 'Citric Acid': 1, 'Sodium Benzoate': 1}"
Slice Mango PepsiCo,"{'Mango Pulp': 45, 'Sugar': 30, 'Water': 20, 'Citric Acid': 2, 'Preservatives (Sodium Benzoate)': 1, 'Color (Carotene)': 1}"
Paper Boat Aamras Hector Beverages,"{'Mango Pulp': 50, 'Sugar': 30, 'Water': 18, 'Citric Acid': 1, 'Preservatives (Sodium Benzoate)': 0.5, 'Natural Color (Beta Carotene)': 0.5}"
Chings Schezwan Chutney Capital Foods,"{'Garlic': 25, 'Red Chili Paste': 20, 'Sugar': 15, 'Vinegar': 10, 'Salt': 10, 'Soy Sauce': 10, 'Ginger': 5, 'Spices': 5}"
Chings Noodles Capital Foods,"{'Wheat Flour': 70, 'Edible Vegetable Oil (Palm Oil)': 10, 'Salt': 5, 'Hydrolyzed Vegetable Protein': 5, 'Spices': 10}"
Amul Ice Cream Amul,"{'Milk': 50, 'Sugar': 30, 'Cream': 15, 'Stabilizers': 2, 'Flavorings': 3}"
Vadilal Ice Cream Vadilal,"{'Milk': 45, 'Sugar': 30, 'Cream': 15, 'Flavorings': 5, 'Stabilizers': 5}"
Kwality Walls Hindustan Unilever,"{'Milk': 45, 'Sugar': 30, 'Cream': 15, 'Stabilizers': 5, 'Flavorings': 5}"
Cornetto,"{'Milk': 40, 'Sugar': 30, 'Cream': 15, 'Chocolate': 10, 'Wafer Cone': 5}"
Yummiez Nuggets Godrej,"{'Chicken': 60, 'Corn Flour': 15, 'Edible Vegetable Oil': 10, 'Salt': 5, 'Spices': 5, 'Flour': 5}"
Venky's Nuggets Venky's,"{'Chicken': 60, 'Corn Flour': 15, 'Edible Vegetable Oil (Palm Oil)': 10, 'Salt': 5, 'Spices': 5, 'Flour': 5}"
Frozen Paratha ITC,"{'Wheat Flour': 60, 'Edible Vegetable Oil (Palm Oil)': 15, 'Salt': 5, 'Water': 10, 'Leavening Agents': 5, 'Emulsifiers': 5}"
Mother Dairy Paneer Mother Dairy,"{'Milk': 80, 'Lemon Juice': 5, 'Salt': 5, 'Water': 10}"
Amul Paneer Amul,"{'Milk': 80, 'Lemon Juice': 5, 'Salt': 5, 'Water': 10}"
Hershey's Chocolate Syrup Hershey's,"{'High Fructose Corn Syrup': 60, 'Cocoa': 20, 'Sugar': 10, 'Water': 5, 'Salt': 2, 'Vanilla': 1, 'Preservatives (Sodium Benzoate)': 0.5}"
Nutella,"{'Sugar': 57, 'Palm Oil': 28, 'Hazelnuts': 13, 'Cocoa': 7, 'Milk Powder': 6, 'Lecithin (Emulsifier)': 1.5, 'Vanillin (Flavor)': 0.2}"
Funfoods Mayonnaise Dr. Oetker,"{'Vegetable Oil': 65, 'Water': 25, 'Egg Yolk': 5, 'Vinegar': 3, 'Mustard': 2, 'Salt': 1}"
Lotte Choco Pie Lotte,"{'Sugar': 40, 'Wheat Flour': 20, 'Chocolate (Cocoa, Sugar)': 15, 'Marshmallow': 10, 'Vegetable Oil': 10, 'Milk Solids': 5}"
Dark Fantasy Choco Fills Sunfeast,"{'Wheat Flour': 50, 'Sugar': 30, 'Cocoa Solids': 10, 'Vegetable Oil (Palm Oil)': 5, 'Cocoa Butter': 2, 'Emulsifiers': 2, 'Milk Solids': 1}"
Oreo Biscuits Mondelez,"{'Sugar': 40, 'Wheat Flour': 30, 'Vegetable Oil (Palm Oil)': 20, 'Cocoa': 5, 'Milk Solids': 3, 'Leavening Agents': 1, 'Salt': 1}"
Bourbon Biscuits Britannia,"{'Wheat Flour': 50, 'Sugar': 25, 'Vegetable Oil (Palm Oil)': 15, 'Cocoa Solids': 5, 'Leavening Agents': 2, 'Salt': 1, 'Artificial Flavors': 2}"
Treat Biscuits Britannia,"{'Wheat Flour': 50, 'Sugar': 25, 'Vegetable Oil (Palm Oil)': 15, 'Cocoa': 5, 'Milk Solids': 3, 'Leavening Agents': 1, 'Salt': 1}"
Britannia Rusk Britannia,"{'Wheat Flour': 60, 'Sugar': 15, 'Butter': 10, 'Eggs': 5, 'Salt': 2, 'Baking Powder': 1, 'Vanilla': 1}"
Parle-G Biscuits Parle,"{'Wheat Flour': 60, 'Sugar': 15, 'Vegetable Oil (Palm Oil)': 10, 'Milk Solids': 5, 'Salt': 2, 'Leavening Agents': 1, 'Emulsifiers': 1, 'Vanilla': 1}"
Winkies Cakes Switz Foods,"{'Wheat Flour': 55, 'Sugar': 20, 'Vegetable Oil (Palm Oil)': 15, 'Cocoa Powder': 5, 'Eggs': 2, 'Baking Powder': 1, 'Vanilla': 2}"
Muffin Break ITC,"{'Wheat Flour': 60, 'Sugar': 15, 'Butter': 10, 'Eggs': 5, 'Baking Powder': 3, 'Vanilla Essence': 2, 'Milk Solids': 3}"
Bournvita,"{'Wheat Flour': 55, 'Sugar': 25, 'Cocoa Solids': 10, 'Milk Solids': 5, 'Leavening Agents': 2, 'Salt': 1}"
Britannia NutriChoice Britannia,"{'Whole Wheat Flour': 60, 'Sugar': 20, 'Vegetable Oil (Palm Oil)': 10, 'Milk Solids': 5, 'Salt': 3, 'Vitamins and Minerals': 2}"
Little Debbie Swiss Roll McKee Foods,"{'Wheat Flour': 50, 'Sugar': 30, 'Vegetable Oil (Palm Oil)': 10, 'Cocoa': 5, 'Milk Solids': 3, 'Eggs': 2, 'Baking Powder': 1}"
Too Yumm Chips RP-Sanjiv Goenka Group,"{'Corn Meal': 60, 'Rice Meal': 20, 'Edible Vegetable Oil (Palm Oil)': 15, 'Seasoning (Chili, Salt, Spices)': 5}"
Happy Happy Biscuits Parle,"{'Wheat Flour': 55, 'Sugar': 25, 'Vegetable Oil (Palm Oil)': 15, 'Milk Solids': 3, 'Leavening Agents': 1, 'Salt': 1}"
Ragi Bites Soulfull,"{'Ragi Flour': 70, 'Rice Flour': 15, 'Sugar': 10, 'Salt': 3, 'Edible Vegetable Oil': 2}"
Soulfull Masala Oats Soulfull,"{'Oats': 70, 'Rice Flour': 15, 'Edible Vegetable Oil': 8, 'Spices (Cumin, Coriander, etc.)': 5, 'Salt': 2}"
Good Vibes Juice Paper Boat,"{'Fruit Pulp (Mango)': 40, 'Sugar': 25, 'Water': 30, 'Citric Acid': 2, 'Preservatives (Sodium Benzoate)': 1, 'Color (Carotene)': 1}"
Cold Coffee Nescafe,"{'Instant Coffee': 20, 'Sugar': 25, 'Milk Solids': 40, 'Water': 10, 'Flavorings (Vanilla)': 5}"
Cafe Latte Starbucks,"{'Coffee': 25, 'Sugar': 20, 'Milk': 50, 'Water': 5}"
Fresca Juices Fresca,"{'Fruit Juice Concentrate': 55, 'Water': 40, 'Sugar': 5}"
